ano,sintoma,resposta,n
2024,LEUCOPENIA,Ignorado/Branco,114153
2024,LEUCOPENIA,Nao,6210240
2024,LEUCOPENIA,Sim,242738
2024,MIALGIA,Ignorado/Branco,114153
2024,MIALGIA,Nao,1312660
2024,MIALGIA,Sim,5140318
2024,NAUSEA,Ignorado/Branco,114153
2024,NAUSEA,Nao,3603148
2024,NAUSEA,Sim,2849830
2024,PETEQUIA_N,Ignorado/Branco,114153
2024,PETEQUIA_N,Nao,6097323
2024,PETEQUIA_N,Sim,355655
2024,VOMITO,Ignorado/Branco,114153
2024,VOMITO,Nao,4691862
2024,VOMITO,Sim,1761116
2025,ARTRALGIA,Ignorado/Branco,53192
2025,ARTRALGIA,Nao,1308308
2025,ARTRALGIA,Sim,274638
2025,CEFALEIA,Ignorado/Branco,53192
2025,CEFALEIA,Nao,305669
2025,CEFALEIA,Sim,1277277
2025,DOR_COSTAS,Ignorado/Branco,53192
2025,DOR_COSTAS,Nao,1122002
2025,DOR_COSTAS,Sim,460944
2025,DOR_RETRO,Ignorado/Branco,53192
2025,DOR_RETRO,Nao,1088808
2025,DOR_RETRO,Sim,494138
2025,EXANTEMA,Ignorado/Branco,53192
2025,EXANTEMA,Nao,1450689
2025,EXANTEMA,Sim,132257
2025,FEBRE,Ignorado/Branco,53192
2025,FEBRE,Nao,215788
2025,FEBRE,Sim,1367158
2025,LACO,Ignorado/Branco,53192
2025,LACO,Nao,1541116
2025,LACO,Sim,41830
2025,LEUCOPENIA,Ignorado/Branco,53192
2025,LEUCOPENIA,Nao,1512744
2025,LEUCOPENIA,Sim,70202
2025,MIALGIA,Ignorado/Branco,53192
2025,MIALGIA,Nao,303358
2025,MIALGIA,Sim,1279588
2025,NAUSEA,Ignorado/Branco,53192
2025,NAUSEA,Nao,889211
2025,NAUSEA,Sim,693735
2025,PETEQUIA_N,Ignorado/Branco,53192
2025,PETEQUIA_N,Nao,1498099
2025,PETEQUIA_N,Sim,84847
2025,VOMITO,Ignorado/Branco,53192
2025,VOMITO,Nao,1157934
